composition	day	replicate	concentration (ppb)	8 (cells/ml)	10 (cells/ml)	17 (cells/ml)	18 (cells/ml)	E18 (cells/ml)	23 ( cells/ml)	31 (cells/ml)	32 (cells/ml)	NO3- (mg/l)	PO43- (mg/l)	Si (mg/l)	Atrazine (ppb)
E18	3	1	250	0	0	0	0	496	0	0	0	NA	NA	NA	NA
E18	3	2	250	0	0	0	0	468	0	0	0	NA	NA	NA	NA
E18	3	3	250	0	0	0	0	551	0	0	0	NA	NA	NA	NA
10	3	1	0	0	129	0	0	0	0	0	0	NA	NA	NA	NA
10	3	2	0	0	138	0	0	0	0	0	0	NA	NA	NA	NA
10	3	3	0	0	230	0	0	0	0	0	0	NA	NA	NA	NA
10	3	1	25	0	83	0	0	0	0	0	0	NA	NA	NA	NA
10	3	2	25	0	221	0	0	0	0	0	0	NA	NA	NA	NA
10	3	3	25	0	257	0	0	0	0	0	0	NA	NA	NA	NA
10	3	1	250	0	101	0	0	0	0	0	0	NA	NA	NA	NA
10	3	2	250	0	175	0	0	0	0	0	0	NA	NA	NA	NA
10	3	3	250	0	202	0	0	0	0	0	0	NA	NA	NA	NA
8	3	1	0	49	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	2	0	49	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	3	0	62	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	1	25	62	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	2	25	83	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	3	25	97	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	1	250	49	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	2	250	56	0	0	0	0	0	0	0	NA	NA	NA	NA
8	3	3	250	49	0	0	0	0	0	0	0	NA	NA	NA	NA
31	3	1	0	0	0	0	0	0	0	325	0	NA	NA	NA	NA
31	3	2	0	0	0	0	0	0	0	309	0	NA	NA	NA	NA
31	3	3	0	0	0	0	0	0	0	199	0	NA	NA	NA	NA
31	3	1	25	0	0	0	0	0	0	149	0	NA	NA	NA	NA
